"codice_istat","denominazione_ita","cap","sigla_provincia","denominazione_provincia","denominazione_regione","lat","lon","superficie_kmq","punti_di_misura"
6003,"Alessandria",15121,"AL","Alessandria","Piemonte",44.9127963,8.6153323,203.9287,"SMP2299rg"
6003,"Alessandria",15122,"AL","Alessandria","Piemonte",44.9127963,8.6153323,203.9287,"SMP5940yz"
6174,"Tortona",15057,"AL","Alessandria","Piemonte",44.8948335,8.8601847,98.7397,"SMP8868ua"
6039,"Casale Monferrato",15033,"AL","Alessandria","Piemonte",45.1349646,8.4525968,85.6197,"SMP0742cp"
6136,"Ponzone",15010,"AL","Alessandria","Piemonte",44.5886374,8.4588849,68.566,"SMP0965gm"
6022,"Bosio",15060,"AL","Alessandria","Piemonte",44.6477472,8.7919887,67.2025,"SMP2142bx"
6034,"Carrega Ligure",15060,"AL","Alessandria","Piemonte",44.6192534,9.1759216,55.0782,"SMP3380hm"
6114,"Novi Ligure",15067,"AL","Alessandria","Piemonte",44.7601748,8.7871152,54.9899,"SMP7286wi"
6165,"Spigno Monferrato",15018,"AL","Alessandria","Piemonte",44.5429496,8.3353613,54.1844,"SMP3501ue"
6067,"Fabbrica Curone",15054,"AL","Alessandria","Piemonte",44.7548191,9.1541586,53.6661,"SMP7216sf"
6190,"Voltaggio",15060,"AL","Alessandria","Piemonte",44.6201729,8.8427161,52.5628,"SMP1070ft"
6177,"Valenza",15048,"AL","Alessandria","Piemonte",45.0144106,8.6461524,48.4272,"SMP5215kx"
6025,"Cabella Ligure",15060,"AL","Alessandria","Piemonte",44.673273,9.0964891,46.8182,"SMP6229ny"
6047,"Castellazzo Bormida",15073,"AL","Alessandria","Piemonte",44.8453157,8.5769763,45.0956,"SMP0957ps"
6053,"Castelnuovo Scrivia",15053,"AL","Alessandria","Piemonte",44.9795135,8.8815635,45.0792,"SMP2185lw"
6151,"Sale",15045,"AL","Alessandria","Piemonte",44.9849267,8.8091767,45.3322,"SMP0611hb"
6021,"Bosco Marengo",15062,"AL","Alessandria","Piemonte",44.8220858,8.676028,44.1476,"SMP8267mb"
6081,"Gavi",15066,"AL","Alessandria","Piemonte",44.6883498,8.8037977,44.6965,"SMP2314vm"
6125,"Pareto",15010,"AL","Alessandria","Piemonte",44.5160585,8.3825603,42.1663,"SMP2075ue"
6018,"Borghetto di Borbera",15060,"AL","Alessandria","Piemonte",44.7310704,8.9453107,39.4255,"SMP0527qg"
6138,"Pozzolo Formigaro",15068,"AL","Alessandria","Piemonte",44.7939006,8.7817118,36.3237,"SMP6195ec"
6141,"Quargnento",15044,"AL","Alessandria","Piemonte",44.9448372,8.4876779,36.0505,"SMP4659xf"
6121,"Ovada",15076,"AL","Alessandria","Piemonte",44.6377036,8.6459454,35.4931,"SMP4371wg"
6161,"Sezzadio",15079,"AL","Alessandria","Piemonte",44.7855617,8.5729603,34.6799,"SMP8105uv"
6001,"Acqui Terme",15011,"AL","Alessandria","Piemonte",44.6766347,8.4695766,32.8709,"SMP0485xf"
6043,"Cassine",15016,"AL","Alessandria","Piemonte",44.7482602,8.5254485,32.9171,"SMP2116hz"
6095,"Molare",15074,"AL","Alessandria","Piemonte",44.6206359,8.6010896,32.2505,"SMP9173ml"
6140,"Predosa",15077,"AL","Alessandria","Piemonte",44.7527923,8.6591881,32.7038,"SMP9971re"
6154,"San Salvatore Monferrato",15046,"AL","Alessandria","Piemonte",44.9947997,8.56671,31.7798,"SMP8251tx"
6009,"Arquata Scrivia",15061,"AL","Alessandria","Piemonte",44.6867498,8.8857228,29.0046,"SMP2009qf"
6073,"Frassineto Po",15040,"AL","Alessandria","Piemonte",45.134067,8.5362089,29.6005,"SMP6001pl"
6100,"Mongiardino Ligure",15060,"AL","Alessandria","Piemonte",44.6385546,9.0612637,29.1157,"SMP0006ia"
6132,"Pontecurone",15055,"AL","Alessandria","Piemonte",44.9589469,8.935876,29.8913,"SMP3675wn"
6013,"Bassignana",15042,"AL","Alessandria","Piemonte",45.0032201,8.7358518,28.6075,"SMP0713gb"
6029,"Capriata d'Orba",15060,"AL","Alessandria","Piemonte",44.7305138,8.6893322,28.5478,"SMP9566lt"
6075,"Frugarolo",15065,"AL","Alessandria","Piemonte",44.8390548,8.6791373,27.1188,"SMP9325sj"
6122,"Oviglio",15026,"AL","Alessandria","Piemonte",44.8597705,8.4869081,27.0781,"SMP3753ny"
6193,"Lu e Cuccaro Monferrato",15037,"AL","Alessandria","Piemonte",45.0017748,8.4842791,27.3312,"SMP4414wg"
